GeneSymbol,GeneName,logFC,AveExpr,t.stat,p.value,adj.p.val,Regulation
UBE2Q1-AS1,UBE2Q1 antisense RNA 1,0.0181058053689894,1.47568760820077,1.09210688587633,0.274949700118942,0.418541747859569,Up
NR5A1,nuclear receptor subfamily 5 group A member 1,0.0476366795141032,-5.40769001839312,1.06807765388683,0.28564578265954,0.430925571357497,Up
MIR34BHG,MIR34B and MIR34C host gene,0.0373333202028118,-5.62352960941299,1.11436983127138,0.265287070534329,0.407049648378302,Up
PCGF1,polycomb group ring finger 1,0.0334636157137308,2.80025175550963,1.23382458053865,0.217448560385615,0.348271487237908,Up
PTPN9,protein tyrosine phosphatase non-receptor type 9,0.0299864671497571,5.26718049481239,1.40919199349896,0.158971732383788,0.270852448372811,Up
PRDM8-AS1,PRDM8 antisense RNA 1,-0.0491954138497724,-1.6350105855148,-0.636353979665253,0.524636285237707,0.672135297462825,Down
SNORA91,"small nucleolar RNA, H/ACA box 91",-0.0258067451849795,-3.4494186884316,-0.371980607853371,0.709956294862362,0.810907903536009,Down
LOC107985934,uncharacterized LOC107985934,-0.0544495206499424,-5.12486920824292,-0.964823889812819,0.334778085359419,0.486554530288727,Down
LOC102724202,uncharacterized LOC102724202,0.0330022275559882,-5.69147170759675,1.1263626374588,0.260180101088988,0.400972667729159,Up
RBM15,RNA binding motif protein 15,-0.0208779415236342,5.63109678983295,-1.42928941164247,0.153115280915179,0.262525989574355,Down
LOC100130331,"POTE ankyrin domain family, member F pseudogene",0.0381469447589635,-5.60429424784228,1.11049574038437,0.266951469969669,0.409054795560793,Up
LOC105378310,uncharacterized LOC105378310,-0.0300529085134655,-5.69731029307822,-1.12226700446952,0.261916456221821,0.403147041962421,Down
PARTICL,promoter of MAT2A antisense radiation-induced circulating long non-coding RNA,-0.0344727506888572,0.653486927452315,-0.988171214747118,0.323217450745455,0.474339768944618,Down
